Successful Private Members' Bills since 1983,,,,,,,,,,,,,,
[Note 1] [Note 2] [Note 3] [Note 4],,,,,,,,,,,,,,
Parliament number,Session number,Parliament,Session,Bill type,Title of bill as presented,Presented by,Presented by (sort name),MNIS Member ID,Member's party (1),Member's party (2),Member's constituency,Act title,Bill URL,Act URL
50,2,1987-92,1988-89,Ballot,Hearing Aid Council (Amendment) Bill 1988/89,Ieuan Wyn Jones,"Jones, Ieuan Wyn",550,Plaid Cymru,[z],Ynys Môn ,Hearing Aid Council (Amendment) Act 1989,[x],https://www.legislation.gov.uk/ukpga/1989/12
50,2,1987-92,1988-89,Ballot,International Parliamentary Organisations (Registration) Bill 1988/89,Michael Marshall,"Marshall, Michael",1231,Conservative,[z],Arundel,International Parliamentary Organisations (Registration) Act 1989,[x],https://www.legislation.gov.uk/ukpga/1989/19
50,2,1987-92,1988-89,Ballot,Road Traffic Regulation (Parking) Bill 1988/89,Timothy Kirkhope,"Kirkhope, Timothy",891,Conservative,[z],Leeds North East,Parking Act 1989,[x],https://www.legislation.gov.uk/ukpga/1989/16
50,2,1987-92,1988-89,Lords,Licensing (Amendment) Bill (HL) 1988/89,Lord Brooks of Tremorfa,"Brooks of Tremorfa, L.",3330,Labour,[z],[z],Licensing (Amendment) Act 1989,[x],https://www.legislation.gov.uk/ukpga/1989/20
50,3,1987-92,1989-90  ,Presentation,Horses (Protective Headgear for Young Riders) Bill 1989/90,Harry Greenway,"Greenway, Harry",1129,Conservative,[z],Ealing North,Horses (Protective Headgear for Young Riders) Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/25
50,3,1987-92,1989-90  ,Presentation,Term and Quarter Days (Scotland) Bill 1989/90,Bill Walker,"Walker, Bill",1262,Conservative,[z],North Tayside,Term and Quarter Days (Scotland) Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/22
50,3,1987-92,1989-90  ,Ballot,Access to Health Records Bill 1989/90,Doug Henderson,"Henderson, Doug",522,Labour,[z],Newcastle upon Tyne North,Access to Health Records Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/23
50,3,1987-92,1989-90  ,Ballot,Agricultural Holdings (Amendment) Bill 1989/90,Alex Carlile,"Carlile, Alex",1138,Liberal Democrat,[z],Montgomery,Agricultural Holdings (Amendment) Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/15
50,3,1987-92,1989-90  ,Ballot,Computer Misuse Bill 1989/90,Michael Colvin,"Colvin, Michael",675,Conservative,[z],Romsey and Waterside,Computer Misuse Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/18
50,3,1987-92,1989-90  ,Ballot,Entertainments (Increased Penalties) Bill 1989/90,Graham Bright,"Bright, Graham",1119,Conservative,[z],Luton South,Entertainments (Increased Penalties) Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/20
50,3,1987-92,1989-90  ,Ballot,Licensing (Low Alcohol Drinks) Bill 1989/90,Peter Emery,"Emery, Peter",229,Conservative,[z],Honiton,Licensing (Low Alcohol Drinks) Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/21
50,3,1987-92,1989-90  ,Ballot,Marriage (Registration of Buildings) Bill 1989/90,George Walden,"Walden, George",958,Conservative,[z],Buckingham,Marriage (Registration of Buildings) Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/33
50,3,1987-92,1989-90  ,Ballot,Representation of the People Bill 1989/90,Anthony Beaumont-Dark  ,"Beaumont-Dark, Anthony",746,Conservative,[z],"Birmingham, Selly Oak",Representation of the People Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/32
50,3,1987-92,1989-90  ,Ballot,Rights of Way Bill 1989/90,Edward Leigh,"Leigh, Edward",345,Conservative,[z],Gainsborough and Horncastle ,Rights of Way Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/24
50,3,1987-92,1989-90  ,Lords,Gaming (Amendment) Bill (HL) 1989/90,Lord Allen of Abbeydale,"Allen of Abbeydale, L.",3485,Crossbench,[z],[z],Gaming (Amendment) Act 1990,[x],https://www.legislation.gov.uk/ukpga/1990/26
50,4,1987-92,1990-91  ,Presentation,Age of Legal Capacity (Scotland) Bill 1990/91,Nicholas Fairbairn,"Fairbairn, Nicholas",694,Conservative,[z],Perth and Kinross,Age of Legal Capacity (Scotland) Act 1991,[x],https://www.legislation.gov.uk/ukpga/1991/50
50,4,1987-92,1990-91  ,Presentation,Badgers (Further Protection) Bill 1990/91,Alan Meale,"Meale, Alan",361,Labour,[z],Mansfield,Badgers (Further Protection) Act 1991,[x],https://www.legislation.gov.uk/ukpga/1991/35
50,4,1987-92,1990-91  ,Presentation,Breeding of Dogs Bill 1990/91,Alan Williams,"Williams, Alan",536,Labour,[z],Carmarthen,Breeding of Dogs Act 1991,[x],https://www.legislation.gov.uk/ukpga/1991/64
50,4,1987-92,1990-91  ,Presentation,Football (Offences) Bill 1990/91,John Wheeler,"Wheeler, John",1269,Conservative,[z],Westminster North,Football (Offences) Act 1991,[x],https://www.legislation.gov.uk/ukpga/1991/19
50,4,1987-92,1990-91  ,Presentation,Forestry Bill 1990/91,Hector Monro,"Monro, Hector",1238,Conservative,[z],Dumfries,Forestry Act 1991,[x],https://www.legislation.gov.uk/ukpga/1991/43
50,4,1987-92,1990-91  ,Presentation,Mental Health (Detention) (Scotland) Bill 1990/91,Russell Johnston,"Johnston, Russell",996,Liberal Democrat,[z],"Inverness, Nairn and Lochaber",Mental Health (Detention) (Scotland) Act 1991,[x],https://www.legislation.gov.uk/ukpga/1991/47
